Block,Population,CageID,Red,White,Total,Prop_red,Prop1
4,MB,4,188,94,282,0.666666667,-0.033333333
4,MB,5,110,153,263,0.418250951,-0.281749049
4,MB,7,141,144,285,0.494736842,-0.205263158
4,MB,3,123,130,253,0.486166008,-0.213833992
4,MB,8,233,229,462,0.504329004,-0.195670996
4,MB,9,130,169,299,0.434782609,-0.265217391
4,MB,2,220,282,502,0.438247012,-0.261752988
4,MB,6,175,213,388,0.451030928,-0.248969072
4,MB,1,187,297,484,0.386363636,-0.313636364
4,MB,10,169,259,428,0.394859813,-0.305140187
1,MB,2,228,96,324,0.703703704,0.003703704
1,MB,4,129,42,171,0.754385965,0.054385965
1,MB,1,236,101,337,0.700296736,0.000296736
1,MB,5,202,79,281,0.71886121,0.01886121
1,MB,6,174,82,256,0.6796875,-0.0203125
2,MB,4,194,182,376,0.515957447,-0.184042553
2,MB,9,134,198,332,0.403614458,-0.296385542
2,MB,2,192,192,384,0.5,-0.2
2,MB,5,154,166,320,0.48125,-0.21875
2,MB,3,170,188,358,0.474860335,-0.225139665
2,MB,8,122,167,289,0.422145329,-0.277854671
2,MB,1,149,191,340,0.438235294,-0.261764706
2,MB,7,133,185,318,0.418238994,-0.281761006
2,MB,10,143,148,291,0.491408935,-0.208591065
2,MB,6,231,184,415,0.556626506,-0.143373494
3,MB,6,86,128,214,0.401869159,-0.298130841
3,MB,4,133,180,313,0.424920128,-0.275079872
3,MB,2,107,169,276,0.387681159,-0.312318841
3,MB,3,92,115,207,0.444444444,-0.255555556
3,MB,5,100,195,295,0.338983051,-0.361016949
3,MB,1,89,205,294,0.302721088,-0.397278912
4,PJB,4,188,94,282,0.666666667,0.033333333
4,PJB,5,110,153,263,0.418250951,0.281749049
4,PJB,7,141,144,285,0.494736842,0.205263158
4,PJB,3,123,130,253,0.486166008,0.213833992
4,PJB,8,233,229,462,0.504329004,0.195670996
4,PJB,9,130,169,299,0.434782609,0.265217391
4,PJB,2,220,282,502,0.438247012,0.261752988
4,PJB,6,175,213,388,0.451030928,0.248969072
4,PJB,1,187,297,484,0.386363636,0.313636364
4,PJB,10,169,259,428,0.394859813,0.305140187
1,PJB,2,228,96,324,0.703703704,-0.003703704
1,PJB,4,129,42,171,0.754385965,-0.054385965
1,PJB,1,236,101,337,0.700296736,-0.000296736
1,PJB,5,202,79,281,0.71886121,-0.01886121
1,PJB,6,174,82,256,0.6796875,0.0203125
2,PJB,4,194,182,376,0.515957447,0.184042553
2,PJB,9,134,198,332,0.403614458,0.296385542
2,PJB,2,192,192,384,0.5,0.2
2,PJB,5,154,166,320,0.48125,0.21875
2,PJB,3,170,188,358,0.474860335,0.225139665
2,PJB,8,122,167,289,0.422145329,0.277854671
2,PJB,1,149,191,340,0.438235294,0.261764706
2,PJB,7,133,185,318,0.418238994,0.281761006
2,PJB,10,143,148,291,0.491408935,0.208591065
2,PJB,6,231,184,415,0.556626506,0.143373494
3,PJB,6,86,128,214,0.401869159,0.298130841
3,PJB,4,133,180,313,0.424920128,0.275079872
3,PJB,2,107,169,276,0.387681159,0.312318841
3,PJB,3,92,115,207,0.444444444,0.255555556
3,PJB,5,100,195,295,0.338983051,0.361016949
3,PJB,1,89,205,294,0.302721088,0.397278912
