Block,Pop,CageID,Total Red,Total White,PropRed,Prop1
4,MB,3,154,43,0.781725888,0.081725888
4,MB,2,132,30,0.814814815,0.114814815
4,MB,9,162,50,0.764150943,0.064150943
4,MB,10,129,47,0.732954545,0.032954545
4,MB,1,165,26,0.863874346,0.163874346
4,MB,5,172,17,0.91005291,0.21005291
4,MB,7,138,19,0.878980892,0.178980892
4,MB,8,120,61,0.662983425,-0.037016575
4,MB,6,185,34,0.844748858,0.144748858
4,MB,4,122,33,0.787096774,0.087096774
1,MB,5,141,41,0.774725275,0.074725275
1,MB,7,123,38,0.763975155,0.063975155
1,MB,6,176,33,0.842105263,0.142105263
1,MB,1,95,33,0.7421875,0.0421875
1,MB,8,131,37,0.779761905,0.079761905
1,MB,10,146,24,0.858823529,0.158823529
1,MB,1,128,45,0.739884393,0.039884393
1,MB,4,152,36,0.808510638,0.108510638
1,MB,3,157,40,0.796954315,0.096954315
1,MB,2,136,31,0.814371257,0.114371257
2,MB,2,113,76,0.597883598,-0.102116402
2,MB,6,135,70,0.658536585,-0.041463415
2,MB,8,114,79,0.590673575,-0.109326425
2,MB,1,125,55,0.694444444,-0.005555556
2,MB,7,86,110,0.43877551,-0.26122449
2,MB,9,153,61,0.714953271,0.014953271
2,MB,3,120,58,0.674157303,-0.025842697
2,MB,5,134,84,0.614678899,-0.085321101
2,MB,4,108,107,0.502325581,-0.197674419
3,MB,3,155,40,0.794871795,0.094871795
3,MB,6,184,69,0.727272727,0.027272727
3,MB,4,143,55,0.722222222,0.022222222
3,MB,8,150,83,0.643776824,-0.056223176
3,MB,2,153,68,0.692307692,-0.007692308
3,MB,9,153,86,0.640167364,-0.059832636
3,MB,1,141,58,0.708542714,0.008542714
3,MB,7,150,62,0.70754717,0.00754717
3,MB,5,137,62,0.688442211,-0.011557789
4,PJB,3,154,43,0.781725888,-0.081725888
4,PJB,2,132,30,0.814814815,-0.114814815
4,PJB,9,162,50,0.764150943,-0.064150943
4,PJB,10,129,47,0.732954545,-0.032954545
4,PJB,1,165,26,0.863874346,-0.163874346
4,PJB,5,172,17,0.91005291,-0.21005291
4,PJB,7,138,19,0.878980892,-0.178980892
4,PJB,8,120,61,0.662983425,0.037016575
4,PJB,6,185,34,0.844748858,-0.144748858
4,PJB,4,122,33,0.787096774,-0.087096774
1,PJB,5,141,41,0.774725275,-0.074725275
1,PJB,7,123,38,0.763975155,-0.063975155
1,PJB,6,176,33,0.842105263,-0.142105263
1,PJB,1,95,33,0.7421875,-0.0421875
1,PJB,8,131,37,0.779761905,-0.079761905
1,PJB,10,146,24,0.858823529,-0.158823529
1,PJB,1,128,45,0.739884393,-0.039884393
1,PJB,4,152,36,0.808510638,-0.108510638
1,PJB,3,157,40,0.796954315,-0.096954315
1,PJB,2,136,31,0.814371257,-0.114371257
2,PJB,2,113,76,0.597883598,0.102116402
2,PJB,6,135,70,0.658536585,0.041463415
2,PJB,8,114,79,0.590673575,0.109326425
2,PJB,1,125,55,0.694444444,0.005555556
2,PJB,7,86,110,0.43877551,0.26122449
2,PJB,9,153,61,0.714953271,-0.014953271
2,PJB,3,120,58,0.674157303,0.025842697
2,PJB,5,134,84,0.614678899,0.085321101
2,PJB,4,108,107,0.502325581,0.197674419
3,PJB,3,155,40,0.794871795,-0.094871795
3,PJB,6,184,69,0.727272727,-0.027272727
3,PJB,4,143,55,0.722222222,-0.022222222
3,PJB,8,150,83,0.643776824,0.056223176
3,PJB,2,153,68,0.692307692,0.007692308
3,PJB,9,153,86,0.640167364,0.059832636
3,PJB,1,141,58,0.708542714,-0.008542714
3,PJB,7,150,62,0.70754717,-0.00754717
3,PJB,5,137,62,0.688442211,0.011557789
