Block,Selection,CageID,Red,White,Prop_red,Prop1
4,MB,2,29,8,0.783783784,0.083783784
4,MB,6,24,7,0.774193548,0.074193548
4,MB,3,26,14,0.65,-0.05
4,MB,5,26,10,0.722222222,0.022222222
4,MB,1,24,15,0.615384615,-0.084615385
4,MB,8,21,10,0.677419355,-0.022580645
4,MB,4,18,14,0.5625,-0.1375
4,MB,10,35,9,0.795454545,0.095454545
4,MB,7,30,16,0.652173913,-0.047826087
4,MB,9,19,9,0.678571429,-0.021428571
1,MB,6,26,10,0.722222222,0.022222222
1,MB,5,14,3,0.823529412,0.123529412
1,MB,9,20,12,0.625,-0.075
1,MB,7,16,5,0.761904762,0.061904762
1,MB,8,15,9,0.625,-0.075
1,MB,10,18,8,0.692307692,-0.007692308
1,MB,2,26,6,0.8125,0.1125
1,MB,3,10,3,0.769230769,0.069230769
1,MB,1,12,5,0.705882353,0.005882353
1,MB,4,11,8,0.578947368,-0.121052632
2,MB,9,16,14,0.533333333,-0.166666667
2,MB,1,14,7,0.666666667,-0.033333333
2,MB,3,18,9,0.666666667,-0.033333333
2,MB,5,13,12,0.52,-0.18
2,MB,8,17,17,0.5,-0.2
2,MB,4,15,10,0.6,-0.1
2,MB,7,20,14,0.588235294,-0.111764706
2,MB,6,11,16,0.407407407,-0.292592593
2,MB,2,14,11,0.56,-0.14
3,MB,2,19,7,0.730769231,0.030769231
3,MB,5,16,17,0.484848485,-0.215151515
3,MB,7,11,13,0.458333333,-0.241666667
3,MB,3,15,9,0.625,-0.075
3,MB,6,14,8,0.636363636,-0.063636364
3,MB,8,17,8,0.68,-0.02
3,MB,4,17,12,0.586206897,-0.113793103
3,MB,1,20,10,0.666666667,-0.033333333
3,MB,9,16,8,0.666666667,-0.033333333
4,PJB,2,29,8,0.783783784,-0.083783784
4,PJB,6,24,7,0.774193548,-0.074193548
4,PJB,3,26,14,0.65,0.05
4,PJB,5,26,10,0.722222222,-0.022222222
4,PJB,1,24,15,0.615384615,0.084615385
4,PJB,8,21,10,0.677419355,0.022580645
4,PJB,4,18,14,0.5625,0.1375
4,PJB,10,35,9,0.795454545,-0.095454545
4,PJB,7,30,16,0.652173913,0.047826087
4,PJB,9,19,9,0.678571429,0.021428571
1,PJB,6,26,10,0.722222222,-0.022222222
1,PJB,5,14,3,0.823529412,-0.123529412
1,PJB,9,20,12,0.625,0.075
1,PJB,7,16,5,0.761904762,-0.061904762
1,PJB,8,15,9,0.625,0.075
1,PJB,10,18,8,0.692307692,0.007692308
1,PJB,2,26,6,0.8125,-0.1125
1,PJB,3,10,3,0.769230769,-0.069230769
1,PJB,1,12,5,0.705882353,-0.005882353
1,PJB,4,11,8,0.578947368,0.121052632
2,PJB,9,16,14,0.533333333,0.166666667
2,PJB,1,14,7,0.666666667,0.033333333
2,PJB,3,18,9,0.666666667,0.033333333
2,PJB,5,13,12,0.52,0.18
2,PJB,8,17,17,0.5,0.2
2,PJB,4,15,10,0.6,0.1
2,PJB,7,20,14,0.588235294,0.111764706
2,PJB,6,11,16,0.407407407,0.292592593
2,PJB,2,14,11,0.56,0.14
3,PJB,2,19,7,0.730769231,-0.030769231
3,PJB,5,16,17,0.484848485,0.215151515
3,PJB,7,11,13,0.458333333,0.241666667
3,PJB,3,15,9,0.625,0.075
3,PJB,6,14,8,0.636363636,0.063636364
3,PJB,8,17,8,0.68,0.02
3,PJB,4,17,12,0.586206897,0.113793103
3,PJB,1,20,10,0.666666667,0.033333333
3,PJB,9,16,8,0.666666667,0.033333333
