Block,Population,CageID,Red,White,Total,Prop_red,Prop1
4,MCU,6,47,219,266,0.176691729,-0.523308271
4,MCU,2,49,208,257,0.190661479,-0.509338521
4,MCU,10,34,200,234,0.145299145,-0.554700855
4,MCU,3,43,183,226,0.190265487,-0.509734513
4,MCU,1,107,223,330,0.324242424,-0.375757576
4,MCU,8,66,337,403,0.163771712,-0.536228288
4,MCU,4,51,274,325,0.156923077,-0.543076923
4,MCU,5,117,320,437,0.267734554,-0.432265446
4,MCU,9,64,333,397,0.161209068,-0.538790932
4,MCU,7,33,232,265,0.124528302,-0.575471698
1,MCU,7,184,129,313,0.587859425,-0.112140575
1,MCU,9,207,120,327,0.633027523,-0.066972477
1,MCU,8,208,109,317,0.65615142,-0.04384858
1,MCU,3,214,75,289,0.740484429,0.040484429
1,MCU,5,207,45,252,0.821428571,0.121428571
1,MCU,2,197,110,307,0.641693811,-0.058306189
1,MCU,1,187,113,300,0.623333333,-0.076666667
1,MCU,10,149,135,284,0.524647887,-0.175352113
1,MCU,6,228,93,321,0.710280374,0.010280374
1,MCU,4,233,132,365,0.638356164,-0.061643836
2,MCU,10,262,109,371,0.706199461,0.006199461
2,MCU,5,104,142,246,0.422764228,-0.277235772
2,MCU,2,91,121,212,0.429245283,-0.270754717
2,MCU,8,165,99,264,0.625,-0.075
2,MCU,7,64,138,202,0.316831683,-0.383168317
2,MCU,3,134,147,281,0.476868327,-0.223131673
2,MCU,4,164,128,292,0.561643836,-0.138356164
2,MCU,6,107,122,229,0.467248908,-0.232751092
2,MCU,9,121,97,218,0.555045872,-0.144954128
2,MCU,1,246,127,373,0.659517426,-0.040482574
3,MCU,2,125,163,288,0.434027778,-0.265972222
3,MCU,5,172,160,332,0.518072289,-0.181927711
3,MCU,10,93,159,252,0.369047619,-0.330952381
3,MCU,8,185,81,266,0.695488722,-0.004511278
3,MCU,6,148,113,261,0.567049808,-0.132950192
3,MCU,4,147,146,293,0.501706485,-0.198293515
3,MCU,1,144,203,347,0.414985591,-0.285014409
3,MCU,9,91,155,246,0.369918699,-0.330081301
3,MCU,3,129,145,274,0.47080292,-0.22919708
3,MCU,7,99,203,302,0.32781457,-0.37218543
4,PJB,6,47,219,266,0.176691729,0.523308271
4,PJB,2,49,208,257,0.190661479,0.509338521
4,PJB,10,34,200,234,0.145299145,0.554700855
4,PJB,3,43,183,226,0.190265487,0.509734513
4,PJB,1,107,223,330,0.324242424,0.375757576
4,PJB,8,66,337,403,0.163771712,0.536228288
4,PJB,4,51,274,325,0.156923077,0.543076923
4,PJB,5,117,320,437,0.267734554,0.432265446
4,PJB,9,64,333,397,0.161209068,0.538790932
4,PJB,7,33,232,265,0.124528302,0.575471698
1,PJB,7,184,129,313,0.587859425,0.112140575
1,PJB,9,207,120,327,0.633027523,0.066972477
1,PJB,8,208,109,317,0.65615142,0.04384858
1,PJB,3,214,75,289,0.740484429,-0.040484429
1,PJB,5,207,45,252,0.821428571,-0.121428571
1,PJB,2,197,110,307,0.641693811,0.058306189
1,PJB,1,187,113,300,0.623333333,0.076666667
1,PJB,10,149,135,284,0.524647887,0.175352113
1,PJB,6,228,93,321,0.710280374,-0.010280374
1,PJB,4,233,132,365,0.638356164,0.061643836
2,PJB,10,262,109,371,0.706199461,-0.006199461
2,PJB,5,104,142,246,0.422764228,0.277235772
2,PJB,2,91,121,212,0.429245283,0.270754717
2,PJB,8,165,99,264,0.625,0.075
2,PJB,7,64,138,202,0.316831683,0.383168317
2,PJB,3,134,147,281,0.476868327,0.223131673
2,PJB,4,164,128,292,0.561643836,0.138356164
2,PJB,6,107,122,229,0.467248908,0.232751092
2,PJB,9,121,97,218,0.555045872,0.144954128
2,PJB,1,246,127,373,0.659517426,0.040482574
3,PJB,2,125,163,288,0.434027778,0.265972222
3,PJB,5,172,160,332,0.518072289,0.181927711
3,PJB,10,93,159,252,0.369047619,0.330952381
3,PJB,8,185,81,266,0.695488722,0.004511278
3,PJB,6,148,113,261,0.567049808,0.132950192
3,PJB,4,147,146,293,0.501706485,0.198293515
3,PJB,1,144,203,347,0.414985591,0.285014409
3,PJB,9,91,155,246,0.369918699,0.330081301
3,PJB,3,129,145,274,0.47080292,0.22919708
3,PJB,7,99,203,302,0.32781457,0.37218543
