Block,Pop,CageID,Total Red,Total White,PropRed,Prop1
4,MCU,7,177,24,0.880597015,0.180597015
4,MCU,3,125,22,0.850340136,0.150340136
4,MCU,10,171,61,0.737068966,0.037068966
4,MCU,8,102,39,0.723404255,0.023404255
4,MCU,4,172,47,0.785388128,0.085388128
4,MCU,6,177,15,0.921875,0.221875
4,MCU,5,175,26,0.870646766,0.170646766
4,MCU,1,171,35,0.830097087,0.130097087
4,MCU,2,155,37,0.807291667,0.107291667
4,MCU,9,95,64,0.597484277,-0.102515723
1,MCU,10,96,97,0.497409326,-0.202590674
1,MCU,6,139,71,0.661904762,-0.038095238
1,MCU,9,133,62,0.682051282,-0.017948718
1,MCU,1,115,49,0.701219512,0.001219512
1,MCU,2,100,67,0.598802395,-0.101197605
1,MCU,7,68,106,0.390804598,-0.309195402
1,MCU,5,101,56,0.643312102,-0.056687898
1,MCU,3,105,60,0.636363636,-0.063636364
1,MCU,4,51,128,0.284916201,-0.415083799
1,MCU,8,83,106,0.439153439,-0.260846561
2,MCU,3,80,90,0.470588235,-0.229411765
2,MCU,1,95,95,0.5,-0.2
2,MCU,5,97,101,0.48989899,-0.21010101
2,MCU,2,127,75,0.628712871,-0.071287129
2,MCU,4,103,112,0.479069767,-0.220930233
2,MCU,6,132,71,0.650246305,-0.049753695
3,MCU,2,114,106,0.518181818,-0.181818182
3,MCU,7,87,113,0.435,-0.265
3,MCU,4,140,120,0.538461538,-0.161538462
3,MCU,8,116,120,0.491525424,-0.208474576
3,MCU,1,91,111,0.45049505,-0.24950495
3,MCU,6,99,90,0.523809524,-0.176190476
3,MCU,9,72,141,0.338028169,-0.361971831
3,MCU,5,70,137,0.338164251,-0.361835749
3,MCU,3,95,113,0.456730769,-0.243269231
4,PJB,7,177,24,0.880597015,-0.180597015
4,PJB,3,125,22,0.850340136,-0.150340136
4,PJB,10,171,61,0.737068966,-0.037068966
4,PJB,8,102,39,0.723404255,-0.023404255
4,PJB,4,172,47,0.785388128,-0.085388128
4,PJB,6,177,15,0.921875,-0.221875
4,PJB,5,175,26,0.870646766,-0.170646766
4,PJB,1,171,35,0.830097087,-0.130097087
4,PJB,2,155,37,0.807291667,-0.107291667
4,PJB,9,95,64,0.597484277,0.102515723
1,PJB,10,96,97,0.497409326,0.202590674
1,PJB,6,139,71,0.661904762,0.038095238
1,PJB,9,133,62,0.682051282,0.017948718
1,PJB,1,115,49,0.701219512,-0.001219512
1,PJB,2,100,67,0.598802395,0.101197605
1,PJB,7,68,106,0.390804598,0.309195402
1,PJB,5,101,56,0.643312102,0.056687898
1,PJB,3,105,60,0.636363636,0.063636364
1,PJB,4,51,128,0.284916201,0.415083799
1,PJB,8,83,106,0.439153439,0.260846561
2,PJB,3,80,90,0.470588235,0.229411765
2,PJB,1,95,95,0.5,0.2
2,PJB,5,97,101,0.48989899,0.21010101
2,PJB,2,127,75,0.628712871,0.071287129
2,PJB,4,103,112,0.479069767,0.220930233
2,PJB,6,132,71,0.650246305,0.049753695
3,PJB,2,114,106,0.518181818,0.181818182
3,PJB,7,87,113,0.435,0.265
3,PJB,4,140,120,0.538461538,0.161538462
3,PJB,8,116,120,0.491525424,0.208474576
3,PJB,1,91,111,0.45049505,0.24950495
3,PJB,6,99,90,0.523809524,0.176190476
3,PJB,9,72,141,0.338028169,0.361971831
3,PJB,5,70,137,0.338164251,0.361835749
3,PJB,3,95,113,0.456730769,0.243269231
