Block,Selection,CageID,Red,White,Prop_red,Prop1
4,MCU,5,13,9,0.590909091,-0.109090909
4,MCU,2,18,9,0.666666667,-0.033333333
4,MCU,1,28,10,0.736842105,0.036842105
4,MCU,4,16,11,0.592592593,-0.107407407
4,MCU,9,15,13,0.535714286,-0.164285714
4,MCU,10,33,12,0.733333333,0.033333333
4,MCU,3,25,20,0.555555556,-0.144444444
4,MCU,6,23,12,0.657142857,-0.042857143
4,MCU,7,14,14,0.5,-0.2
4,MCU,8,27,9,0.75,0.05
1,MCU,1,16,3,0.842105263,0.142105263
1,MCU,2,11,6,0.647058824,-0.052941176
1,MCU,6,10,9,0.526315789,-0.173684211
1,MCU,7,6,10,0.375,-0.325
1,MCU,10,16,10,0.615384615,-0.084615385
1,MCU,9,10,4,0.714285714,0.014285714
1,MCU,4,9,13,0.409090909,-0.290909091
1,MCU,3,15,5,0.75,0.05
1,MCU,8,8,9,0.470588235,-0.229411765
1,MCU,5,14,6,0.7,0
2,MCU,10,15,11,0.576923077,-0.123076923
2,MCU,2,16,12,0.571428571,-0.128571429
2,MCU,3,7,12,0.368421053,-0.331578947
2,MCU,1,9,8,0.529411765,-0.170588235
2,MCU,4,6,12,0.333333333,-0.366666667
2,MCU,9,15,7,0.681818182,-0.018181818
3,MCU,9,12,19,0.387096774,-0.312903226
3,MCU,8,13,7,0.65,-0.05
3,MCU,1,10,11,0.476190476,-0.223809524
3,MCU,7,8,9,0.470588235,-0.229411765
3,MCU,2,9,12,0.428571429,-0.271428571
3,MCU,4,16,11,0.592592593,-0.107407407
3,MCU,3,5,11,0.3125,-0.3875
3,MCU,5,7,17,0.291666667,-0.408333333
3,MCU,6,6,9,0.4,-0.3
4,PJB,5,13,9,0.590909091,0.109090909
4,PJB,2,18,9,0.666666667,0.033333333
4,PJB,1,28,10,0.736842105,-0.036842105
4,PJB,4,16,11,0.592592593,0.107407407
4,PJB,9,15,13,0.535714286,0.164285714
4,PJB,10,33,12,0.733333333,-0.033333333
4,PJB,3,25,20,0.555555556,0.144444444
4,PJB,6,23,12,0.657142857,0.042857143
4,PJB,7,14,14,0.5,0.2
4,PJB,8,27,9,0.75,-0.05
1,PJB,1,16,3,0.842105263,-0.142105263
1,PJB,2,11,6,0.647058824,0.052941176
1,PJB,6,10,9,0.526315789,0.173684211
1,PJB,7,6,10,0.375,0.325
1,PJB,10,16,10,0.615384615,0.084615385
1,PJB,9,10,4,0.714285714,-0.014285714
1,PJB,4,9,13,0.409090909,0.290909091
1,PJB,3,15,5,0.75,-0.05
1,PJB,8,8,9,0.470588235,0.229411765
1,PJB,5,14,6,0.7,0
2,PJB,10,15,11,0.576923077,0.123076923
2,PJB,2,16,12,0.571428571,0.128571429
2,PJB,3,7,12,0.368421053,0.331578947
2,PJB,1,9,8,0.529411765,0.170588235
2,PJB,4,6,12,0.333333333,0.366666667
2,PJB,9,15,7,0.681818182,0.018181818
3,PJB,9,12,19,0.387096774,0.312903226
3,PJB,8,13,7,0.65,0.05
3,PJB,1,10,11,0.476190476,0.223809524
3,PJB,7,8,9,0.470588235,0.229411765
3,PJB,2,9,12,0.428571429,0.271428571
3,PJB,4,16,11,0.592592593,0.107407407
3,PJB,3,5,11,0.3125,0.3875
3,PJB,5,7,17,0.291666667,0.408333333
3,PJB,6,6,9,0.4,0.3
